Addressing,,,
Start,0,,
A6,0,,
A5,0,,
A4,0,,
A3,1,,
A2,0,,
A1,0,,
A0,0,,
R/W,0,Write,
Bit sequence (9-bits),0000000000000000111100000000000000,,
Begin Table,,,
t,Clk,Dat,
0,1,1,
10,1,1,
20,1,0,Start
30,1,0,
40,0,0,
50,0,0,
60,1,0,A6
70,1,0,
80,0,0,
90,0,0,
100,1,0,A5
110,1,0,
120,0,0,
130,0,0,
140,1,0,A4
150,1,0,
160,0,0,
170,0,1,
180,1,1,A3
190,1,1,
200,0,1,
210,0,0,
220,1,0,A2
230,1,0,
240,0,0,
250,0,0,
260,1,0,A1
270,1,0,
280,0,0,
290,0,0,
300,1,0,A0
310,1,0,
320,0,0,
330,0,0,
340,1,0,R/W
350,1,,
360,0,,Release for ACK
370,0,,
380,1,,
390,1,,
400,0,,
410,0,,
420,0,,
430,0,,
440,0,,
450,0,,
460,0,,
470,0,,
480,0,0,
490,0,0,
500,1,0,D7
510,1,0,
520,0,0,
530,0,0,
540,1,0,D6
550,1,0,
560,0,0,
570,0,0,
580,1,0,D5
590,1,0,
600,0,0,
610,0,0,
620,1,0,D4
630,1,0,
640,0,0,
650,0,0,
660,1,0,D3
670,1,0,
680,0,0,
690,0,0,
700,1,0,D2
710,1,0,
720,0,0,
730,0,0,
740,1,0,D1
750,1,0,
760,0,1,
770,0,1,
780,1,1,D0
790,1,1,
800,0,,Release
810,0,,
820,1,,NACK
830,1,,
840,0,,
850,0,,
860,0,,
870,0,,
880,1,0,
890,1,0,
900,1,1,Stop
910,1,1,
920,1,1,
930,1,1,
940,1,1,
950,1,1,
960,1,1,
970,1,1,
980,,,
990,,,
1000,,,
1010,,,
1020,,,
1030,,,
1040,,,
1050,,,
1060,,,
1070,,,
1080,,,
1090,,,
1100,,,
1110,,,
1120,,,
1130,,,
1140,,,
1150,,,
1160,,,
1170,,,
1180,,,
1190,,,
1200,,,
1210,,,
1220,,,
1230,,,
1240,,,
1250,,,
1260,,,
1270,,,
1280,,,
1290,,,
1300,,,
1310,,,
1320,,,
1330,,,
1340,,,
1350,,,
1360,,,
1370,,,
1380,,,
1390,,,
1400,,,
1410,,,
1420,,,
1430,,,
1440,,,
1450,,,
1460,,,
1470,,,
1480,,,
1490,,,
1500,,,
1510,,,
1520,,,
1530,,,
1540,,,
1550,,,
1560,,,
1570,,,
1580,,,
1590,,,
1600,,,
1610,,,
1620,,,
1630,,,
1640,,,
1650,,,
1660,,,
1670,,,
1680,,,
1690,,,
1700,,,
1710,,,
1720,,,
1730,,,
1740,,,
1750,,,
1760,,,
1770,,,
1780,,,
1790,,,
1800,,,
1810,,,
